,tconst,primaryTitle,originalTitle,year,runtimeMinutes,genres,averageRating,numVotes
92,tt1072748,Winchester,Winchester,2018,99,"Biography,Drama,Fantasy",5.4,25732
93,tt10746674,Party Day Massacre Stories,Party Day Massacre Stories,2018,76,"Comedy,Horror",3.0,13
94,tt10858032,Shopner Ghor,Shopner Ghor,2018,158,"Drama,Horror",7.0,7
95,tt11018792,Ivanov,Ivanov,2018,75,"Comedy,Drama",6.1,9
96,tt1127881,Farming,Farming,2018,101,Drama,5.2,157
97,tt1137450,Death Wish,Death Wish,2018,107,"Action,Crime,Drama",6.4,54054
98,tt1213641,First Man,First Man,2018,141,"Biography,Drama,History",7.3,137147
99,tt1226837,Beautiful Boy,Beautiful Boy,2018,120,"Biography,Drama",7.3,36270
100,tt1235187,Where Hands Touch,Where Hands Touch,2018,122,"Drama,Romance,War",6.0,1845
101,tt1255919,Holmes & Watson,Holmes & Watson,2018,90,"Comedy,Crime,Mystery",3.8,22905
102,tt1259528,Den of Thieves,Den of Thieves,2018,140,"Action,Crime,Drama",7.0,74360
103,tt1270797,Venom,Venom,2018,112,"Action,Sci-Fi,Thriller",6.7,309088
104,tt1273221,London Fields,London Fields,2018,118,"Crime,Mystery,Thriller",4.3,3787
105,tt1285009,The Strangers: Prey at Night,The Strangers: Prey at Night,2018,85,Horror,5.2,23235
106,tt1289403,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,2018,124,"Drama,History,Romance",7.4,25163
107,tt1308728,The Happytime Murders,The Happytime Murders,2018,91,"Action,Comedy,Crime",5.4,20249
108,tt1318517,The Man Who Killed Don Quixote,The Man Who Killed Don Quixote,2018,132,"Adventure,Comedy,Drama",6.4,10577
109,tt1319706,"Coulda, Woulda, Shoulda","Coulda, Woulda, Shoulda",2018,110,"Comedy,Drama,Family",5.3,6
110,tt1326219,5K1,5K1,2018,108,"Action,Drama",4.3,34
111,tt1329350,Gathering of Heroes: Legend of the Seven Swords,Gathering of Heroes: Legend of the Seven Swords,2018,103,"Action,Fantasy,Sci-Fi",4.5,53
112,tt1337180,Dagger of Adultery,Dagger of Adultery,2018,119,"Adventure,Mystery,Romance",6.2,13
113,tt1352771,Randy's Canvas,Randy's Canvas,2018,102,"Comedy,Drama,Romance",5.8,41
114,tt1365519,Tomb Raider,Tomb Raider,2018,119,"Action,Adventure,Fantasy",6.3,170924
115,tt1389098,Mapplethorpe,Mapplethorpe,2018,102,"Biography,Drama",6.1,636
116,tt1413492,12 Strong,12 Strong,2018,130,"Action,Drama,History",6.6,53699
117,tt1458902,2050,2050,2018,104,"Drama,Fantasy,Sci-Fi",5.4,149
118,tt1464763,Mute,Mute,2018,126,"Mystery,Sci-Fi,Thriller",5.4,26578
119,tt1477834,Aquaman,Aquaman,2018,143,"Action,Adventure,Fantasy",7.0,306154
120,tt1493881,Stone Seeker,Stone Seeker,2018,84,Sci-Fi,5.4,51
121,tt1502407,Halloween,Halloween,2018,106,"Horror,Thriller",6.6,98723
122,tt1508012,An Ordinary Couple,An Ordinary Couple,2018,75,"Biography,Documentary",8.0,8
123,tt1517451,A Star Is Born,A Star Is Born,2018,136,"Drama,Music,Romance",7.7,280715
124,tt1525916,Ihmisen osa,Ihmisen osa,2018,107,"Comedy,Drama",6.7,166
125,tt1563742,Overboard,Overboard,2018,112,"Comedy,Romance",5.9,28333
126,tt1571234,Mortal Engines,Mortal Engines,2018,128,"Action,Adventure,Fantasy",6.1,83650
127,tt1590193,The Commuter,The Commuter,2018,105,"Action,Mystery,Thriller",6.3,88212
128,tt1595021,The Sweetest Heir,The Sweetest Heir,2018,107,"Adventure,Comedy,Family",8.5,21
129,tt1620680,A Wrinkle in Time,A Wrinkle in Time,2018,109,"Adventure,Family,Fantasy",4.2,36653
130,tt1662546,Daddy's Girl,Daddy's Girl,2018,81,"Crime,Horror,Thriller",6.7,59
131,tt1677720,Ready Player One,Ready Player One,2018,140,"Action,Adventure,Sci-Fi",7.5,318183
132,tt1682886,Been So Long,Been So Long,2018,100,"Drama,Musical,Romance",5.5,653
133,tt1690543,Flea,Flea,2018,91,"Drama,Fantasy",8.2,13
134,tt1690967,Come Sunday,Come Sunday,2018,106,Drama,5.9,1642
135,tt1727824,Bohemian Rhapsody,Bohemian Rhapsody,2018,134,"Biography,Drama,Music",8.0,388400
136,tt1737110,The Actor,The Terrorist,2018,86,"Romance,Thriller",6.5,42
137,tt1754650,Last Prince of Atlantis,Posledniy chelovek iz Atlantidy,2018,84,"Adventure,Animation,Family",4.7,33
138,tt1759744,Charlie Says,Charlie Says,2018,110,"Biography,Crime,Drama",5.7,1353
139,tt1772399,Techno Diva,Techno Diva,2018,80,"Comedy,Music,Romance",5.4,10
140,tt1773753,Mara,Mara,2018,98,"Crime,Horror,Thriller",5.1,5028
141,tt1780790,Catskill Park,Catskill Park,2018,93,"Horror,Sci-Fi,Thriller",3.7,137
142,tt1794951,Shakedown,Shakedown,2018,72,"Documentary,Drama,History",7.4,32
143,tt1799516,Benji,Benji,2018,87,"Crime,Drama,Family",6.4,3001
144,tt1801552,Gotti,Gotti,2018,112,"Biography,Crime,Drama",4.8,11447
145,tt1825683,Black Panther,Black Panther,2018,134,"Action,Adventure,Sci-Fi",7.3,547427
146,tt1826956,Operation Ragnarok,Operation Ragnarök,2018,99,"Action,Drama,Thriller",3.9,122
147,tt1838708,The Missing Link,The Missing Link,2018,96,Comedy,4.3,45
148,tt1842422,Mugworth,Mugworth,2018,70,"Animation,Fantasy,Horror",6.8,6
149,tt1843303,The VelociPastor,The VelociPastor,2018,75,"Action,Adventure,Comedy",6.1,131
150,tt1846589,Hunter Killer,Hunter Killer,2018,122,"Action,Thriller",6.6,40973
151,tt1849772,Hoffmaniada,Gofmaniada,2018,78,"Animation,Biography",6.1,51
152,tt1858788,The 5th Shadow,The 5th Shadow,2018,133,Thriller,7.8,13
153,tt1871361,An Education: The Story of a Witness,Retracing Jeneba: The Story of a Witness,2018,63,Documentary,8.9,8
154,tt1879017,In Saturn's Rings,In Saturn's Rings,2018,39,"Animation,Documentary",8.5,27
155,tt1884378,7 Splinters in Time,7 Splinters in Time,2018,75,"Mystery,Sci-Fi,Thriller",3.3,445
156,tt1885322,About Bugs and Heroes,O bubicama i herojima,2018,90,Drama,6.6,53
157,tt1885325,Beyond the Darkness,Heaven's War,2018,95,"Fantasy,Thriller",4.2,161
158,tt1893269,Kusama: Infinity,Kusama: Infinity,2018,76,Documentary,7.2,571
159,tt1922544,All These Small Moments,All These Small Moments,2018,100,Drama,5.5,361
160,tt1937340,Beyond Paradise,Beyond Paradise,2018,101,"Drama,Romance",5.8,329
161,tt1971310,5 Weddings,5 Weddings,2018,90,"Comedy,Drama,Romance",3.3,311
162,tt1977094,Beyond White Space,Beyond White Space,2018,93,"Sci-Fi,Thriller",4.5,1078
163,tt1999130,Death Zone: Cleaning Mount Everest,Death Zone: Cleaning Mount Everest,2018,99,"Adventure,Documentary,Drama",7.7,106
164,tt1999890,Hell Fest,Hell Fest,2018,89,Horror,5.5,10422
165,tt2011311,The Outsider,The Outsider,2018,120,"Crime,Drama,Thriller",6.3,17101
166,tt2018069,Our House,Our House,2018,90,"Drama,Horror,Sci-Fi",5.3,4463
167,tt2034176,Redcon-1,Redcon-1,2018,115,"Action,Horror,Thriller",4.3,2316
168,tt2039349,Hier,Hier,2018,119,Drama,5.6,85
169,tt2043993,No Sleep 'Til Christmas,No Sleep 'Til Christmas,2018,90,"Comedy,Romance",6.8,701
170,tt2050452,The Dead Queen,Pedro e Inês,2018,120,Drama,6.6,291
171,tt2060503,"Borders, Raindrops","Granice, kise",2018,93,Drama,7.2,42
172,tt2069797,Delirium,Delirium,2018,96,"Horror,Thriller",5.7,4985
173,tt2071600,American Dream/American Knightmare,American Dream/American Knightmare,2018,85,Documentary,5.8,280
174,tt2081306,Love Magical,Love Magical,2018,91,Comedy,7.2,13
